Stage,Window,N_Points,ID_Bits,Authentication_Index,Training_Indices,PC,Explained_Variance_Ratio,Cumulative_Explained_Variance
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",21,0.004170032744592412,0.900414577807957
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",22,0.003766455126534674,0.9041810329344917
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",23,0.003412383953912613,0.9075934168884043
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",24,0.003254012302655504,0.9108474291910599
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",25,0.003140883135968483,0.9139883123270284
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",26,0.0028669491832287314,0.9168552615102571
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",27,0.0028181351727336436,0.9196733966829908
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",28,0.002623831290391599,0.9222972279733823
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",29,0.0025572761516436003,0.9248545041250259
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",30,0.00244361997178394,0.9272981240968099
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",31,0.00236629262837944,0.9296644167251893
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",32,0.002088182002068903,0.9317525987272582
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",33,0.002031214265296989,0.9337838129925552
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",34,0.0020128550785347434,0.93579666807109
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",35,0.0018828445244431712,0.9376795125955332
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",36,0.001752593353616592,0.9394321059491497
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",37,0.0017111011545576482,0.9411432071037074
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",38,0.0016317052610710838,0.9427749123647784
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",39,0.0015432553026221748,0.9443181676674006
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",40,0.0015201097495752304,0.9458382774169759
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",41,0.0014247406385574954,0.9472630180555334
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",42,0.0013564964259974975,0.9486195144815308
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",43,0.001346333351089003,0.9499658478326198
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",44,0.0012965758786838584,0.9512624237113037
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",45,0.0012638325240406224,0.9525262562353443
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",46,0.0012341615740838758,0.9537604178094281
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",47,0.001136524340416343,0.9548969421498444
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",48,0.0010971066054055972,0.9559940487552501
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",49,0.0010500281081645647,0.9570440768634146
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",50,0.0010065034851222585,0.9580505803485369
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",51,0.0009993139016075485,0.9590498942501444
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",52,0.0009639568511551897,0.9600138511012996
1_Window_Selection,10k-1000k,500,64,3,"1,2,4,5",53,0.0009438968684832,0.9609577479697827
