Scenario,Cohort_Protocol,ID_Bits,Fold,Bit_Block,Block_Bits,Intra_Mean,Intra_Mean_Normalized,Intra_Std,Intra_Min,Intra_Max,Inter_Mean,Inter_Mean_Normalized,Inter_Std,Inter_Min,Inter_Max,D_Prime
Multi-sweep,heldout_sensor_cohort,64,aggregate,1-64,64,1.2266666666666666,0.019166666666666665,1.275197927348923,0.0,7.0,31.467586206896552,0.4916810344827586,4.2309975725313045,15.0,47.0,9.678030769173805
Single-sweep,enrolled_cohort,128,enroll_1_test_2,1-64,64,1.7152542372881356,0.02680084745762712,1.626817514123571,0.0,12.0,32.05845728121757,0.5009133950190245,3.8965712707548565,13.0,49.0,10.162560638962882
Single-sweep,enrolled_cohort,128,enroll_1_test_2,65-128,64,3.2644067796610168,0.05100635593220339,1.9547398100831597,0.0,11.0,32.0637610976594,0.5009962671509282,3.8545327290244,15.0,47.0,9.423832556409888
Single-sweep,enrolled_cohort,128,enroll_1_test_3,1-64,64,2.0677966101694913,0.0323093220338983,1.9453800739087614,0.0,14.0,32.06237749337023,0.5009746483339098,3.896149458567911,14.0,49.0,9.740635177391644
Single-sweep,enrolled_cohort,128,enroll_1_test_3,65-128,64,3.6203389830508477,0.056567796610169495,2.142442790178874,0.0,14.0,32.06290787501441,0.5009829355471002,3.8504105301841793,17.0,47.0,9.128660169104878
Single-sweep,enrolled_cohort,128,enroll_1_test_4,1-64,64,2.31864406779661,0.03622881355932203,2.0421139654072413,0.0,14.0,32.06567508359276,0.5010261731811368,3.8944613269969346,14.0,49.0,9.566727834896454
Single-sweep,enrolled_cohort,128,enroll_1_test_4,65-128,64,3.925423728813559,0.06133474576271186,2.1699551094402967,0.0,12.0,32.06267727429955,0.5009793324109305,3.852473974399409,17.0,47.0,8.9995423111301
Single-sweep,enrolled_cohort,128,enroll_1_test_5,1-64,64,2.4440677966101694,0.038188559322033896,2.1734538789897218,0.0,15.0,32.06708174795342,0.5010481523117721,3.8962754972571476,14.0,49.0,9.389979151747053
Single-sweep,enrolled_cohort,128,enroll_1_test_5,65-128,64,3.983050847457627,0.062235169491525424,2.184449723075319,0.0,13.0,32.06470656059034,0.501011040009224,3.8604561889329534,16.0,48.0,8.953255363526525
Single-sweep,enrolled_cohort,128,enroll_2_test_1,1-64,64,1.5627118644067797,0.024417372881355932,1.4505333648509544,0.0,9.0,32.068626772742995,0.5010722933241093,3.883176146824461,14.0,48.0,10.407543689084763
Single-sweep,enrolled_cohort,128,enroll_2_test_1,65-128,64,3.2847457627118644,0.05132415254237288,2.161884850914344,0.0,12.0,32.07416118989969,0.5011587685921827,3.8492008804588287,15.0,47.0,9.222334765507432
Single-sweep,enrolled_cohort,128,enroll_2_test_3,1-64,64,1.305084745762712,0.020391949152542374,1.5011813634571296,0.0,12.0,32.070563818747836,0.5011025596679349,3.8832898916314758,14.0,48.0,10.450467637148686
Single-sweep,enrolled_cohort,128,enroll_2_test_3,65-128,64,2.925423728813559,0.04570974576271186,2.1399657652181676,0.0,19.0,32.07109420039202,0.5011108468811253,3.843977185880384,15.0,48.0,9.368834580684453
Single-sweep,enrolled_cohort,128,enroll_2_test_4,1-64,64,1.5084745762711864,0.023569915254237288,1.5383187367759845,0.0,12.0,32.07058687881933,0.501102919981552,3.881869947100279,14.0,48.0,10.351020515120787
Single-sweep,enrolled_cohort,128,enroll_2_test_4,65-128,64,3.2,0.05,2.1799956312756574,0.0,20.0,32.07240862446674,0.5011313847572928,3.84137516392542,16.0,48.0,9.244545908738456
Single-sweep,enrolled_cohort,128,enroll_2_test_5,1-64,64,1.4983050847457626,0.02341101694915254,1.6799631034804574,0.0,12.0,32.07111726046351,0.5011112071947423,3.882356269638403,14.0,48.0,10.220801278244968
Single-sweep,enrolled_cohort,128,enroll_2_test_5,65-128,64,3.1559322033898307,0.049311440677966105,2.286329618545779,0.0,18.0,32.07139398132134,0.501115530958146,3.8496635528975323,16.0,47.0,9.13309830392297
Single-sweep,enrolled_cohort,128,enroll_3_test_1,1-64,64,2.0542372881355933,0.032097457627118645,2.0760475622966323,0.0,18.0,32.073999769399286,0.5011562463968638,3.8776695104763794,14.0,48.0,9.652134262981704
Single-sweep,enrolled_cohort,128,enroll_3_test_1,65-128,64,3.5152542372881355,0.05492584745762712,2.2943893085283342,0.0,14.0,32.076305776547905,0.501192277758561,3.8350753006514577,16.0,48.0,9.038120802507196
Single-sweep,enrolled_cohort,128,enroll_3_test_2,1-64,64,1.2847457627118644,0.02007415254237288,1.6802993699214774,0.0,16.0,32.073999769399286,0.5011562463968638,3.8760902715665955,15.0,48.0,10.306843716902922
Single-sweep,enrolled_cohort,128,enroll_3_test_2,65-128,64,2.9152542372881354,0.045550847457627115,2.0758420600500416,0.0,16.0,32.07879626426842,0.501231191629194,3.8337559670789725,15.0,49.0,9.460208474868695
Single-sweep,enrolled_cohort,128,enroll_3_test_4,1-64,64,1.064406779661017,0.01663135593220339,1.1863398682279362,0.0,6.0,32.07713593912141,0.5012052490487721,3.8758565893318906,15.0,50.0,10.820332565952487
