#Digilent WaveForms Impedance Analyzer - Input
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB)
56038.87894006105,16.8137392189857
56058.30390142545,16.80640911733328
56077.73559613517,16.80220871294934
56097.17402652423,16.7962253633578
56116.61919492744,16.80546224621963
56136.07110368043,16.80368252309797
56155.52975511961,16.80208993399434
56174.99515158225,16.80226120596311
56194.46729540639,16.80121121022638
56213.94618893089,16.80537865043944
56233.43183449542,16.80425425908273
56252.92423444047,16.81771749457342
56272.42339110734,16.81402904151563
56291.92930683814,16.81153953818301
56311.44198397576,16.82579889364054
56330.96142486397,16.82433505059495
56350.48763184729,16.83080799863484
56370.02060727109,16.83563514656393
56389.56035348152,16.84888594995386
56409.10687282558,16.84008418661018
56428.66016765105,16.86551209340283
56448.22024030657,16.86332930822978
56467.78709314153,16.87534219726345
56487.36072850619,16.88194504990244
56506.94114875159,16.89106052106741
56526.5283562296,16.89925946465181
56546.12235329291,16.91887836629668
56565.72314229502,16.92498339133168
56585.33072559023,16.93856038758036
56604.9451055337,16.94209893234866
56624.56628448133,16.9608612708858
56644.19426478993,16.96831583782462
56663.82904881706,16.98614314715006
56683.47063892113,16.99764232845125
56703.11903746132,17.00861650782122
56722.7742467977,17.01736773518083
56742.43626929112,17.04515610992384
56762.10510730323,17.05402003783396
56781.78076319652,17.0703378925051
56801.46323933431,17.09474553082079
56821.15253808074,17.10407831664483
56840.84866180072,17.11827185286428
56860.55161286002,17.13979207547515
56880.26139362525,17.15424668928976
56899.97800646379,17.17092794525396
56919.7014537439,17.1941281718021
56939.43173783459,17.21589861349887
56959.16886110575,17.23132207442236
56978.91282592806,17.25674027284547
56998.66363467305,17.26841549980569
57018.42128971304,17.30450152503563
57038.18579342118,17.3293513233384
57057.95714817147,17.34645766234672
57077.73535633869,17.36698161997932
57097.52042029848,17.39589934377474
57117.31234242727,17.42445239637035
57137.11112510235,17.44940882418713
57156.91677070181,17.47906666664384
57176.72928160457,17.50702679924983
57196.54866019038,17.53507511688608
57216.3749088398,17.56094778926398
57236.20802993424,17.59983112969693
57256.04802585591,17.62835166829937
57275.89489898786,17.66797495246209
57295.74865171395,17.70290414338571
57315.6092864189,17.73795746247243
57335.47680548822,17.77878927266586
57355.35121130827,17.80786449046711
57375.23250626623,17.85532497225999
57395.1206927501,17.88808218656485
57415.01577314873,17.93203589166972
57434.91774985175,17.97253212200892
57454.8266252497,18.01454626964374
57474.74240173386,18.05339920222871
57494.66508169638,18.10115734895265
57514.59466753026,18.14567985445511
57534.53116162931,18.20179818011213
57554.47456638813,18.23937017550951
57574.42488420224,18.29424760948755
57594.38211746789,18.34255059424035
57614.34626858223,18.38983686683677
57634.31733994322,18.44788252952458
