Method,ID_Bits,Bits_Per_Feature,Fold,Enrollment_Index,Authentication_Index,Devices,Fit_Seconds,Mean_Transform_Milliseconds,Directed_Impostor_Comparisons,Intra_Mean,Intra_Mean_Normalized,Intra_Std,Intra_Min,Intra_Q05,Intra_Median,Intra_Q95,Intra_Max,Intra_Count,Inter_Mean,Inter_Mean_Normalized,Inter_Std,Inter_Min,Inter_Q05,Inter_Median,Inter_Q95,Inter_Max,Inter_Count,Fixed_Threshold,Fixed_Threshold_Normalized,FAR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,Descriptive_EER,Descriptive_EER_Threshold,Minimum_Balanced_Error,Minimum_Balanced_Error_Threshold,Empirical_Overlap_Coefficient,Unique_Identifiers,Collision_Rate,Empirical_Codeword_Entropy_Bits,Active_Bit_Count,Constant_Bit_Count,Active_Bit_Fraction,Mean_Absolute_Bit_Bias,Mean_Absolute_Bit_Correlation
PQM,12,4,enroll_5_test_4,5,4,295,0.00529809994623065,0.062017288982426214,86730,0.2983050847457627,0.024858757062146894,0.7136882085250273,0,0.0,0.0,2.0,4,295,3.879672546984896,0.32330604558207465,1.7260066144574255,0,1.0,4.0,6.0,8,86730,2,0.16666666666666666,0.21076905338406549,0.04067796610169491,0.0868672892885968,1,0.0868672892885968,1,0.1737345785771936,36,0.8779661016949153,4.8887376248128165,8,4,0.6666666666666666,0.20819209039548023,0.18555029430893402
Direct-Scalar,18,6,enroll_1_test_2,1,2,295,0.011992399988230318,0.08161051072559114,86730,1.0338983050847457,0.057438794726930316,1.3114630882338392,0,0.0,1.0,4.0,5,295,3.055851493139629,0.16976952739664605,1.541612477112547,0,1.0,3.0,5.0,18,86730,3,0.16666666666666666,0.6489680618009915,0.07796610169491526,0.19109881240631846,1,0.19109881240631846,1,0.3821976248126369,56,0.8101694915254237,5.573947447225235,18,0,1.0,0.34218455743879467,0.46883548613332865
Direct-Scalar,18,6,enroll_1_test_3,1,3,295,0.008644699992146343,0.09072881243270585,86730,1.305084745762712,0.07250470809792844,1.4124595869016792,0,0.0,1.0,4.0,10,295,3.1007033321803297,0.17226129623224054,1.683334015009947,0,1.0,3.0,5.0,18,86730,3,0.16666666666666666,0.644851839040701,0.09152542372881356,0.26353049694454056,2,0.21598639455782315,1,0.4290210999654099,56,0.8101694915254237,5.573947447225235,18,0,1.0,0.34218455743879467,0.46883548613332865
Direct-Scalar,18,6,enroll_1_test_4,1,4,295,0.013585700013209134,0.08210915306551476,86730,1.4203389830508475,0.07890772128060264,1.433180619259391,0,0.0,1.0,4.0,9,295,3.0996425688919635,0.17220236493844243,1.6830135320976638,0,1.0,3.0,5.0,18,86730,3,0.16666666666666666,0.645785771935893,0.1016949152542373,0.2819958491871325,2,0.24282831776778507,1,0.4823936354202698,56,0.8101694915254237,5.573947447225235,18,0,1.0,0.34218455743879467,0.46883548613332865
Direct-Scalar,18,6,enroll_1_test_5,1,5,295,0.009233599994331598,0.09531966268511141,86730,1.5661016949152542,0.08700564971751412,1.445684425803475,0,0.0,1.0,4.300000000000011,6,295,3.0715323417502596,0.1706406856527922,1.6062787327447072,0,1.0,3.0,5.0,18,86730,3,0.16666666666666666,0.6472616165110112,0.1152542372881356,0.2978438833160383,2,0.26698374264960223,1,0.5339674852992043,56,0.8101694915254237,5.573947447225235,18,0,1.0,0.34218455743879467,0.46883548613332865
Direct-Scalar,18,6,enroll_2_test_1,2,1,295,0.012024499999824911,0.09779525285397293,86730,1.2610169491525425,0.07005649717514124,1.450898964722974,0,0.0,1.0,4.0,6,295,3.0629078750144125,0.1701615486119118,1.5987403183065942,0,1.0,3.0,5.0,18,86730,3,0.16666666666666666,0.6498212844459818,0.1016949152542373,0.2643548945001729,2,0.23210538452669202,1,0.46421076905338404,58,0.8033898305084746,5.572133486644909,18,0,1.0,0.34350282485875705,0.4675652603433953
Direct-Scalar,18,6,enroll_2_test_3,2,3,295,0.008240199997089803,0.07742271024607501,86730,0.9423728813559322,0.052354048964218455,1.4869275483210185,0,0.0,0.0,4.0,12,295,3.1054537069064914,0.17252520593924953,1.7422475939043471,0,1.0,3.0,5.0,18,86730,3,0.16666666666666666,0.6468695952957454,0.07457627118644068,0.17943041623429035,1,0.17943041623429035,1,0.3558284330681425,58,0.8033898305084746,5.572133486644909,18,0,1.0,0.34350282485875705,0.4675652603433953
Direct-Scalar,18,6,enroll_2_test_4,2,4,295,0.00838869996368885,0.07567626909526476,86730,1.1084745762711865,0.061581920903954805,1.6356246737350923,0,0.0,1.0,4.300000000000011,14,295,3.1030785195434105,0.17239325108574502,1.7440829778576747,0,1.0,3.0,5.0,18,86730,3,0.16666666666666666,0.648380029978093,0.1016949152542373,0.19304738844690417,1,0.19304738844690417,1,0.38523002421307506,58,0.8033898305084746,5.572133486644909,18,0,1.0,0.34350282485875705,0.4675652603433953
Direct-Scalar,18,6,enroll_2_test_5,2,5,295,0.010640399996191263,0.0724827115013564,86730,1.0677966101694916,0.059322033898305086,1.320487525662642,0,0.0,1.0,4.0,6,295,3.063438256658596,0.1701910142588109,1.603896497754253,0,1.0,3.0,5.0,18,86730,3,0.16666666666666666,0.6507667473769169,0.08135593220338982,0.20004035512510088,1,0.20004035512510088,1,0.4000807102502018,58,0.8033898305084746,5.572133486644909,18,0,1.0,0.34350282485875705,0.4675652603433953
Direct-Scalar,18,6,enroll_3_test_1,3,1,295,0.009220200008712709,0.06662813484889724,86730,1.423728813559322,0.0790960451977401,1.5843987446315666,0,0.0,1.0,4.0,11,295,3.0867289288596793,0.17148494049220442,1.6801156250724887,0,1.0,3.0,5.0,18,86730,3,0.16666666666666666,0.6486106306929551,0.1288135593220339,0.26983742649602216,2,0.2443387524501326,1,0.4862216072869826,59,0.8,5.58768896520832,18,0,1.0,0.3448210922787194,0.40209359565828356
